hotel,country,total_bookings,avg_adr
City Hotel,PRT,30637,92.92139537160949
City Hotel,FRA,8786,112.16832916002731
City Hotel,DEU,6082,108.69164419598816
City Hotel,GBR,5301,115.74074514242595
City Hotel,ESP,4602,114.6288244241634
City Hotel,ITA,3300,115.25695454545455
City Hotel,BEL,1894,118.57253959873283
City Hotel,BRA,1788,111.61596756152126
City Hotel,USA,1612,120.21521712158808
City Hotel,NLD,1588,115.87215994962216
City Hotel,CHE,1291,118.5994810224632
City Hotel,IRL,1208,115.8703311258278
City Hotel,AUT,1052,110.54344106463878
City Hotel,CHN,864,114.30892361111111
City Hotel,SWE,715,118.21233566433567
City Hotel,ISR,641,110.0275663026521
City Hotel,POL,584,117.09604452054793
City Hotel,CN,569,113.94782073813708
City Hotel,NOR,483,124.49786749482402
City Hotel,RUS,439,114.43006833712985
City Hotel,DNK,370,120.37254054054053
City Hotel,AUS,339,115.61356932153393
City Hotel,AGO,338,115.00437869822485
City Hotel,ROU,323,107.50291021671828
City Hotel,FIN,295,115.66132203389829
City Hotel,TUR,225,109.47506666666666
City Hotel,LUX,205,124.35941463414635
City Hotel,JPN,188,122.28382978723404
City Hotel,HUN,183,110.21923497267758
City Hotel,MAR,183,117.50486338797813
City Hotel,ARG,156,117.02974358974359
City Hotel,CZE,144,113.1348611111111
City Hotel,KOR,124,116.46241935483872
City Hotel,GRC,118,113.56466101694915
City Hotel,IND,114,114.30771929824562
City Hotel,SRB,94,100.40585106382979
City Hotel,DZA,91,109.99593406593405
City Hotel,HRV,89,111.89910112359551
City Hotel,MEX,78,119.73602564102563
City Hotel,IRN,77,129.7416883116883
City Hotel,BGR,70,113.83571428571429
City Hotel,ZAF,62,109.30129032258066
City Hotel,MOZ,60,109.51666666666667
City Hotel,NZL,60,112.90566666666668
City Hotel,COL,55,125.52945454545454
City Hotel,SVK,53,107.41415094339622
City Hotel,THA,53,118.86811320754717
City Hotel,EST,50,126.3862
City Hotel,ISL,50,109.4922
City Hotel,CHL,48,115.64291666666666
City Hotel,SAU,47,123.9104255319149
City Hotel,UKR,45,113.5971111111111
City Hotel,SVN,44,117.66454545454545
City Hotel,CYP,43,94.67302325581396
City Hotel,ARE,39,127.63282051282052
City Hotel,TWN,39,117.10743589743589
City Hotel,TUN,37,110.06648648648648
City Hotel,LTU,35,101.64428571428572
City Hotel,SGP,34,93.3464705882353
City Hotel,EGY,31,117.49225806451614
City Hotel,IDN,30,109.66499999999999
City Hotel,PER,28,117.7682142857143
City Hotel,ECU,25,135.122
City Hotel,HKG,25,121.01799999999999
City Hotel,LBN,25,123.9964
City Hotel,NGA,24,112.98083333333334
City Hotel,PHL,24,135.0375
City Hotel,URY,24,127.04875
City Hotel,VEN,23,108.65260869565218
City Hotel,LVA,22,112.27636363636363
City Hotel,CPV,19,98.98473684210526
City Hotel,JOR,19,101.29473684210525
City Hotel,BLR,18,109.17777777777778
City Hotel,MYS,18,96.97666666666666
City Hotel,CRI,17,109.96764705882353
City Hotel,MLT,16,110.15187499999999
City Hotel,Unknown,16,67.8125
City Hotel,MAC,15,99.91866666666667
City Hotel,AZE,14,102.97500000000001
City Hotel,IRQ,14,106.95714285714287
City Hotel,KAZ,14,136.37857142857143
City Hotel,QAT,14,154.93357142857144
City Hotel,KWT,13,131.00615384615384
City Hotel,BGD,12,149.8025
City Hotel,BIH,12,115.82916666666667
City Hotel,DOM,11,136.0218181818182
City Hotel,GEO,11,103.27090909090909
City Hotel,BOL,10,115.0
City Hotel,PAK,10,101.77799999999999
City Hotel,SEN,10,109.708
City Hotel,ALB,9,84.12111111111112
City Hotel,GNB,9,83.16444444444444
City Hotel,MKD,9,81.1888888888889
City Hotel,PAN,9,110.16111111111111
City Hotel,TJK,9,137.23333333333332
City Hotel,CMR,8,99.05125
City Hotel,LBY,8,92.75
City Hotel,OMN,7,126.89285714285714
City Hotel,ARM,6,115.86666666666667
City Hotel,KEN,6,134.1966666666667
City Hotel,LKA,6,96.83333333333333
City Hotel,MDV,6,117.60000000000001
City Hotel,MUS,6,95.92833333333334
City Hotel,VNM,6,107.23166666666667
City Hotel,FRO,5,155.2
City Hotel,GIB,5,148.814
City Hotel,JEY,5,164.442
City Hotel,MNE,5,110.3
City Hotel,BHR,4,134.1625
City Hotel,BRB,4,95.0
City Hotel,CIV,4,150.625
City Hotel,CUB,4,129.2325
City Hotel,GAB,4,143.375
City Hotel,GHA,4,126.45
City Hotel,GTM,4,75.0
City Hotel,MCO,4,85.74
City Hotel,PRY,4,112.6
City Hotel,TZA,4,113.625
City Hotel,BEN,3,123.2
City Hotel,ETH,3,101.25999999999999
City Hotel,LIE,3,102.26666666666667
City Hotel,PRI,3,138.66666666666666
City Hotel,TMP,3,139.0666666666667
City Hotel,UZB,3,109.32333333333334
City Hotel,ABW,2,128.34
City Hotel,AND,2,95.0
City Hotel,ATA,2,134.25
City Hotel,CAF,2,114.71000000000001
City Hotel,GGY,2,117.9
City Hotel,GLP,2,140.0
City Hotel,IMN,2,117.44999999999999
City Hotel,KHM,2,99.0
City Hotel,KNA,2,92.2
City Hotel,LAO,2,181.66500000000002
City Hotel,MYT,2,177.75
City Hotel,RWA,2,83.265
City Hotel,SLV,2,148.85
City Hotel,STP,2,117.0
City Hotel,SYR,2,120.5
City Hotel,ZWE,2,124.65
City Hotel,AIA,1,265.0
City Hotel,ASM,1,72.07
City Hotel,ATF,1,126.0
City Hotel,BFA,1,80.3
City Hotel,COM,1,259.0
City Hotel,DMA,1,105.3
