hotel,arrival_date,arrival_date_year,arrival_month_num,arrival_date_month,lead_time,total_nights,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,total_guests,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,customer_type,adr,booking_revenue,required_car_parking_spaces,total_of_special_requests,is_canceled,is_canceled_flag,reservation_status,reservation_status_date
Resort Hotel,2015-07-01,2015,7,July,7,1,0,1,1,0.0,0,1.0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,Transient,75.0,75.0,0,0,0,No,Check-Out,2015-07-02
Resort Hotel,2015-07-01,2015,7,July,13,1,0,1,1,0.0,0,1.0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,Transient,75.0,75.0,0,0,0,No,Check-Out,2015-07-02
Resort Hotel,2015-07-01,2015,7,July,14,2,0,2,2,0.0,0,2.0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,98.0,196.0,0,1,0,No,Check-Out,2015-07-03
Resort Hotel,2015-07-01,2015,7,July,14,2,0,2,2,0.0,0,2.0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,98.0,196.0,0,1,0,No,Check-Out,2015-07-03
Resort Hotel,2015-07-01,2015,7,July,0,2,0,2,2,0.0,0,2.0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,Transient,107.0,214.0,0,0,0,No,Check-Out,2015-07-03
Resort Hotel,2015-07-01,2015,7,July,9,2,0,2,2,0.0,0,2.0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,Transient,103.0,206.0,0,1,0,No,Check-Out,2015-07-03
Resort Hotel,2015-07-01,2015,7,July,85,3,0,3,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,Transient,82.0,246.0,0,1,1,Yes,Canceled,2015-05-06
Resort Hotel,2015-07-01,2015,7,July,75,3,0,3,2,0.0,0,2.0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,Transient,105.5,316.5,0,0,1,Yes,Canceled,2015-04-22
Resort Hotel,2015-07-01,2015,7,July,23,4,0,4,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,Transient,123.0,492.0,0,0,1,Yes,Canceled,2015-06-23
Resort Hotel,2015-07-01,2015,7,July,35,4,0,4,2,0.0,0,2.0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,Transient,145.0,580.0,0,0,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-01,2015,7,July,68,4,0,4,2,0.0,0,2.0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,Transient,97.0,388.0,0,3,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-01,2015,7,July,18,4,0,4,2,1.0,0,3.0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,Transient,154.77,619.08,0,1,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-01,2015,7,July,37,4,0,4,2,0.0,0,2.0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,Transient,94.71,378.84,0,0,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-01,2015,7,July,68,4,0,4,2,0.0,0,2.0,BB,IRL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,Transient,97.0,388.0,0,3,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-01,2015,7,July,37,4,0,4,2,0.0,0,2.0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,Contract,97.5,390.0,0,0,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-01,2015,7,July,12,1,0,1,2,0.0,0,2.0,BB,IRL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,Transient,88.2,88.2,0,0,0,No,Check-Out,2015-07-02
Resort Hotel,2015-07-01,2015,7,July,0,1,0,1,2,0.0,0,2.0,BB,FRA,Corporate,Corporate,0,0,0,A,G,0,No Deposit,Transient,107.42,107.42,0,0,0,No,Check-Out,2015-07-02
Resort Hotel,2015-07-01,2015,7,July,7,4,0,4,2,0.0,0,2.0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,Transient,153.0,612.0,0,1,0,No,Check-Out,2015-07-05
Resort Hotel,2015-07-01,2015,7,July,37,5,1,4,1,0.0,0,1.0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,Transient,97.29,486.45000000000005,0,1,0,No,Check-Out,2015-07-06
Resort Hotel,2015-07-01,2015,7,July,72,6,2,4,2,0.0,0,2.0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,Transient,84.67,508.02,0,1,0,No,Check-Out,2015-07-07
