hotel,year_month,total_bookings,canceled_bookings,occupied_room_nights,avg_adr,total_revenue,completed_bookings,cancellation_rate_pct,demanded_room_nights,revpar_proxy
City Hotel,2015-07,1393,939,1089,74.4,79645.69,454,67.4,3755,21.21
City Hotel,2015-08,2471,1232,3500,82.33,285197.49,1239,49.9,6701,42.56
City Hotel,2015-09,3516,1542,5467,104.17,588544.97,1974,43.9,9625,61.15
City Hotel,2015-10,3368,1321,5560,92.96,521369.65,2047,39.2,8846,58.94
City Hotel,2015-11,1225,301,2652,72.15,191210.34,924,24.6,3588,53.29
City Hotel,2015-12,1637,668,2823,78.76,228337.4,969,40.8,4894,46.66
City Hotel,2016-01,1355,436,2289,75.87,175232.07,919,32.2,3747,46.77
City Hotel,2016-02,2347,925,3857,83.14,318750.98,1422,39.4,6729,47.37
City Hotel,2016-03,3028,1107,5809,88.58,510550.81,1921,36.6,9297,54.92
City Hotel,2016-04,3549,1537,5784,99.83,578236.36,2012,43.3,10257,56.37
City Hotel,2016-05,3640,1436,6256,110.69,691974.92,2204,39.5,10315,67.08
City Hotel,2016-06,3914,1719,5851,107.34,634281.95,2195,43.9,10585,59.92
City Hotel,2016-07,3107,1038,6600,115.35,743551.81,2069,33.4,10120,73.47
City Hotel,2016-08,3362,1247,6744,122.67,805804.03,2115,37.1,10937,73.68
City Hotel,2016-09,3861,1566,6407,120.87,770081.0,2295,40.6,10977,70.15
City Hotel,2016-10,4186,1947,6458,112.1,719643.48,2239,46.5,11980,60.07
City Hotel,2016-11,3084,1359,5104,96.23,494472.78,1725,44.1,9294,53.2
City Hotel,2016-12,2460,1069,4265,96.2,413031.66,1391,43.5,8332,49.57
City Hotel,2017-01,2357,1043,3948,87.85,352313.25,1314,44.3,7427,47.44
City Hotel,2017-02,2570,968,4891,90.98,449260.99,1602,37.7,8045,55.84
City Hotel,2017-03,3383,1277,6331,93.5,585675.11,2106,37.7,10290,56.92
City Hotel,2017-04,3909,1921,6339,124.81,790842.45,1988,49.1,12496,63.29
City Hotel,2017-05,4544,2216,6607,131.99,876838.41,2328,48.8,13027,67.31
City Hotel,2017-06,3960,1807,6405,129.16,832834.32,2153,45.6,12171,68.43
City Hotel,2017-07,3554,1324,6861,125.57,862229.75,2230,37.3,11445,75.34
City Hotel,2017-08,3119,1121,6571,137.87,885430.33,1998,35.9,10625,83.33
Resort Hotel,2015-07,1361,320,5375,127.27,678694.1,1041,23.5,6972,97.35
Resort Hotel,2015-08,1392,366,5608,155.78,852455.22,1026,26.3,7652,111.4
Resort Hotel,2015-09,1582,551,5564,88.58,466075.7,1031,34.8,8129,57.33
Resort Hotel,2015-10,1548,411,4465,58.1,263345.23,1137,26.6,6292,41.85
Resort Hotel,2015-11,1088,185,3220,46.79,155481.15,903,17.0,4060,38.3
Resort Hotel,2015-12,1239,304,2875,66.75,201184.17,935,24.5,3967,50.71
Resort Hotel,2016-01,866,118,1946,46.39,89289.31,748,13.6,2414,36.99
Resort Hotel,2016-02,1509,406,3176,52.04,165082.12,1103,26.9,4444,37.15
Resort Hotel,2016-03,1754,368,4409,56.73,256759.57,1386,21.0,6234,41.19
Resort Hotel,2016-04,1848,520,4736,67.91,317536.26,1328,28.1,7083,44.83
Resort Hotel,2016-05,1773,478,5376,72.59,380692.27,1295,27.0,7246,52.54
Resort Hotel,2016-06,1345,375,5546,100.57,510518.43,970,27.9,7500,68.07
Resort Hotel,2016-07,1427,455,5340,155.31,780924.53,972,31.9,7891,98.96
Resort Hotel,2016-08,1672,578,5674,189.3,1001850.12,1094,34.6,8777,114.14
Resort Hotel,2016-09,1518,455,5432,104.74,518866.35,1063,30.0,7604,68.24
Resort Hotel,2016-10,1962,566,5289,66.63,352458.36,1396,28.8,7707,45.73
Resort Hotel,2016-11,1315,275,3713,51.87,192628.72,1040,20.9,4664,41.3
Resort Hotel,2016-12,1353,326,3329,73.38,244487.39,1027,24.1,4624,52.87
Resort Hotel,2017-01,1293,206,3079,51.79,159454.55,1087,15.9,3958,40.29
Resort Hotel,2017-02,1572,387,3819,57.02,213572.62,1185,24.6,5186,41.18
Resort Hotel,2017-03,1551,394,5117,58.82,298736.86,1157,25.4,7520,39.73
Resort Hotel,2017-04,1739,537,4905,85.92,412423.65,1202,30.9,7463,55.26
Resort Hotel,2017-05,1747,545,5352,83.47,444897.6,1202,31.2,8021,55.47
Resort Hotel,2017-06,1672,631,5318,117.57,604903.82,1041,37.7,8831,68.5
Resort Hotel,2017-07,1744,660,5597,172.96,954500.86,1084,37.8,9442,101.09
Resort Hotel,2017-08,1796,693,5564,202.42,1084751.27,1103,38.6,9257,117.18
